review_id,product_id,reviewer_name,rating,review_title,review_text,verified_purchase,helpful_votes,review_date
25,SC021,Sonal,5,"Extremely warm, perfect for winters",This puffer coat is fantastic! Incredibly warm without being bulky. Great for Delhi winters. Packable design is a bonus.,True,21,2025-03-01
26,SC024,Ritika,4,Sturdy and spacious,Love this tote for work. Fits my laptop plus all my essentials. The structure holds up well even when full. Good quality handles.,True,14,2025-01-28
27,SC024,Tanya,3,Good bag but zipper feels cheap,Nice design and good capacity. However the zipper feels flimsy and I worry about its longevity. The outer material is great though.,True,6,2024-12-10
28,SC025,Aisha,2,Embellishments fell off after one use,The clutch looked beautiful in photos but the embellishments started falling off after the first use. Poor durability. Very disappointed.,True,22,2025-02-05
29,SC025,Pooja,2,Clasp broken on arrival,Received the clutch with a broken clasp. Had to use it held shut manually at an event. Terrible quality control.,True,17,2025-01-22
30,SC027,Kavya,5,"Beautiful earrings, great quality gold",These hoops are gorgeous! The gold colour is rich and has not tarnished even after 3 months of regular wear. Lightweight.,True,45,2025-03-02
31,SC027,Sneha,5,Perfect everyday earrings,"Bought as a gift and everyone loved them. Classic design, comfortable to wear all day. Great price for the quality.",False,31,2025-02-25
32,SC027,Manish,4,Nice gift option,"Bought for my wife. She loves them. Good quality, nice packaging. Only wish they came in a few more sizes.",False,14,2025-01-14
33,SC003,Sameer,5,Sharp professional look,"This blazer is exactly what I needed for client meetings. Sharp cut, good fabric, holds its shape well. Pair with trousers or jeans.",True,17,2024-12-05
34,SC003,Harsh,4,"Good quality, limited size range",Great blazer but the size range could be broader. The fabric quality is excellent and the stitching is clean.,True,8,2024-11-22
35,SC030,Vikram,4,Warm and stylish,Perfect winter beanie. Keeps my head very warm during morning runs. The knit pattern is nice. Stretches to fit well.,True,11,2025-02-16
36,SC030,Ananya,4,Good quality wool,"Nice beanie, good thickness. Not the most stylish design but very functional and warm. Happy with the purchase.",True,7,2025-01-30
37,SC006,Priya,5,"Stunning embroidery, festival perfect",The embroidery work on this blouse is absolutely beautiful. Wore it for Diwali and received so many compliments. Premium finish.,True,28,2025-03-03
38,SC006,Ritika,5,Worth every rupee,Exceptional quality. The embroidery is detailed and doesn't come loose. Washes well if done gently by hand. A staple ethnic piece.,True,19,2025-02-22
39,SC022,Harsh,3,Good but not waterproof as claimed,The windbreaker is decent but it is NOT waterproof despite what the listing implies. Light drizzle is fine but heavy rain and you will get wet.,True,14,2025-01-18
40,SC022,Sameer,4,Great for cycling and morning walks,Very lightweight and packable. Good wind resistance. Color choices are great. Perfect for outdoor activities in mild weather.,True,9,2024-12-28
